id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
5948,35,樂活酒窖股份有限公司,太陽能,6,2022,2022-12-31,"2022-12-31 06:31:00",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,3
3567,321,樂活酒窖股份有限公司,太陽能,2,2021,2022-04-25,"2022-07-02 06:40:54",高雄市動物保護處<br/>燕巢動物保護關愛園區(行政區),,1,1,82
3566,322,樂活酒窖股份有限公司,太陽能,2,2021,2022-04-25,"2022-07-02 06:40:54",高雄市動物保護處<br/>燕巢動物保護關愛園區(開放區),,1,1,83
24349,37,樂活酒窖股份有限公司,太陽能,8,2018,2024-01-11,"2024-01-11 06:41:20",財團法人工業技術研究院-中創園區<br/>財團法人工業技術研究院-中創園區,,1,1,28
