id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
1043,92,博仲法律事務所,太陽能,7,2019,2020-03-23,"2020-03-23 18:25:22",交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局南科站,,1,1,52
1042,92,博仲法律事務所,太陽能,24,2019,2020-03-23,"2020-03-23 18:24:12","交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局 基隆站",,1,1,53
1041,92,博仲法律事務所,太陽能,7,2019,2020-03-23,"2020-03-23 18:23:33",交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局北湖站,,1,1,54
902,103,博仲法律事務所,太陽能,8,2019,2020-01-22,"2020-01-22 08:45:52",交通部民用航空局臺中航空站<br/>交通部民用航空局臺中航空站,,1,1,63
2621,103,博仲法律事務所,太陽能,10,2021,2021-11-26,"2022-06-28 11:04:54",交通部民用航空局臺中航空站<br/>交通部民用航空局臺中航空站,,1,1,17
2224,29,博仲法律事務所,太陽能,15,2021,2021-07-08,"2021-07-08 19:11:16",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,58
5188,39,博仲法律事務所,太陽能,15,2022,2022-10-06,"2022-10-06 06:30:48",臺北市政府產業發展局<br/>臺北市政府產業發展局新生公園夢想館,,1,1,33
4854,39,博仲法律事務所,太陽能,5,2021,2022-09-29,"2022-09-29 06:30:49",臺北市政府產業發展局<br/>臺北市政府產業發展局新生公園夢想館,,1,1,37
15427,2084,博仲法律事務所,生質能,22,2023,2023-08-01,"2023-08-01 06:41:25",中華紙漿股份有限公司<br/>中華紙漿股份有限公司花蓮廠,,1,1,73
7889,4464,博仲法律事務所,太陽能,1,2022,2023-03-14,"2023-03-14 11:46:44",裕益汽車股份有限公司<br/>順益一期,,1,1,144
7187,4464,博仲法律事務所,太陽能,1,2022,2023-02-17,"2023-02-17 16:18:29",裕益汽車股份有限公司<br/>順益一期,,1,1,168
