id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
402,88,彰化商業銀行股份有限公司,太陽能,47,2018,2019-04-25,"2019-04-25 14:17:37",國立高雄科技大學<br/>國立高雄科技大學,,1,1,52
381,29,彰化商業銀行股份有限公司,太陽能,20,2018,2019-04-19,"2019-04-19 15:57:30",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,54
1601,29,彰化商業銀行股份有限公司,太陽能,80,2020,2020-12-10,"2020-12-10 11:08:03",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,8
2523,29,彰化商業銀行股份有限公司,太陽能,90,2021,2021-11-04,"2021-11-04 18:48:58",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,33
