id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
7,36,玉山金融控股股份有限公司,太陽能,10,2017,2017-12-27,"2017-12-28 15:01:45",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,1
58,103,玉山金融控股股份有限公司,太陽能,65,2018,2018-09-12,"2018-09-12 10:06:56",交通部民用航空局臺中航空站<br/>交通部民用航空局臺中航空站,,1,1,57
702,103,玉山金融控股股份有限公司,太陽能,80,2019,2019-11-21,"2019-11-21 16:51:40",交通部民用航空局臺中航空站<br/>交通部民用航空局臺中航空站,,1,1,14
1602,35,玉山金融控股股份有限公司,太陽能,55,2020,2020-12-10,"2022-06-13 15:12:34",國立海洋生物博物館<br/>國立海洋生物博物館,,1,1,7
2524,39,玉山金融控股股份有限公司,太陽能,49,2021,2021-11-04,"2022-06-28 06:40:56",臺北市政府產業發展局<br/>臺北市政府產業發展局新生公園夢想館,,1,1,32
