id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
22985,5739,福記梅臺行,生質能,1,2023,2023-12-13,"2023-12-13 12:02:38",上品王食品股份有限公司<br/>石安牧場沼氣發電廠,,1,1,21
20231,2084,福記梅臺行,生質能,2,2023,2023-11-09,"2023-11-09 06:34:01",中華紙漿股份有限公司<br/>中華紙漿股份有限公司花蓮廠,,1,1,33
15447,2084,福記梅臺行,生質能,1,2023,2023-08-11,"2023-08-11 10:38:54",中華紙漿股份有限公司<br/>中華紙漿股份有限公司花蓮廠,,1,1,71
