id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
7182,4445,精誠資訊股份有限公司,太陽能,27,2022,2023-02-18,"2023-02-18 06:30:49",臺北大眾捷運股份有限公司<br/>北投機廠(工務處),,1,1,167
7178,5465,精誠資訊股份有限公司,太陽能,15,2022,2023-02-17,"2023-02-17 06:31:13",越峯電子材料股份有限公司<br/>越峯電子材料股份有限公司,,1,1,169
