id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
88,28,元大證券投資信託股份有限公司,太陽能,15,2018,2018-10-08,"2018-10-08 17:26:34",誠美材料科技股份有限公司<br/>誠美材料科技股份有限公司,,1,1,44
65,29,元大證券投資信託股份有限公司,太陽能,5,2018,2018-10-02,"2018-10-03 12:27:39",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,45
642,29,元大證券投資信託股份有限公司,太陽能,20,2019,2019-10-23,"2019-10-23 17:06:13",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,25
1163,28,元大證券投資信託股份有限公司,太陽能,20,2020,2020-05-28,"2020-05-28 14:56:58",誠美材料科技股份有限公司<br/>誠美材料科技股份有限公司,,1,1,37
2445,28,元大證券投資信託股份有限公司,太陽能,30,2021,2021-09-23,"2021-09-23 11:10:10",誠美材料科技股份有限公司<br/>誠美材料科技股份有限公司,,1,1,40
