id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
701,101,元太科技工業股份有限公司,太陽能,11,2018,2019-11-21,"2019-11-21 16:46:04",衛生福利部嘉南療養院<br/>衛生福利部嘉南療養院,,1,1,15
621,101,元太科技工業股份有限公司,太陽能,89,2019,2019-10-09,"2019-10-09 14:21:40",衛生福利部嘉南療養院<br/>衛生福利部嘉南療養院,,1,1,27
343,160,元太科技工業股份有限公司,太陽能,37,2018,2019-04-10,"2019-04-10 17:04:07",客家委員會客家文化發展中心銅鑼園區<br/>客家委員會客家文化發展中心銅鑼園區,,1,1,56
342,31,元太科技工業股份有限公司,太陽能,83,2018,2019-04-10,"2019-04-10 17:02:01",客家委員會客家文化發展中心六堆園區<br/>客家委員會客家文化發展中心六堆園區,,1,1,57
321,101,元太科技工業股份有限公司,太陽能,124,2018,2019-03-22,"2019-03-22 16:35:26",衛生福利部嘉南療養院<br/>衛生福利部嘉南療養院,,1,1,59
284,65,元太科技工業股份有限公司,太陽能,152,2018,2019-02-22,"2019-02-22 11:02:38",國立澎湖科技大學<br/>國立澎湖科技大學,,1,1,61
241,103,元太科技工業股份有限公司,太陽能,10,2018,2019-01-29,"2019-01-29 14:05:18",交通部民用航空局臺中航空站<br/>交通部民用航空局臺中航空站,,1,1,66
1046,31,元太科技工業股份有限公司,太陽能,42,2019,2020-03-24,"2020-03-24 08:54:44",客家委員會客家文化發展中心六堆園區<br/>客家委員會客家文化發展中心六堆園區,,1,1,49
1045,160,元太科技工業股份有限公司,太陽能,81,2019,2020-03-24,"2020-03-24 08:53:45",客家委員會客家文化發展中心銅鑼園區<br/>客家委員會客家文化發展中心銅鑼園區,,1,1,50
983,65,元太科技工業股份有限公司,太陽能,337,2019,2020-02-27,"2020-02-27 17:37:57",國立澎湖科技大學<br/>國立澎湖科技大學,,1,1,57
981,101,元太科技工業股份有限公司,太陽能,37,2019,2020-02-27,"2020-02-27 11:43:09",衛生福利部嘉南療養院<br/>衛生福利部嘉南療養院,,1,1,59
2007,39,元太科技工業股份有限公司,太陽能,73,2020,2021-04-26,"2022-06-28 06:40:52",臺北市政府產業發展局<br/>臺北市政府產業發展局新生公園未來館,,1,1,67
2006,39,元太科技工業股份有限公司,太陽能,7,2020,2021-04-26,"2022-06-28 06:40:52","臺北市政府產業發展局<br/>臺北市政府產業發展局 士東市場",,1,1,68
2004,65,元太科技工業股份有限公司,太陽能,192,2020,2021-04-26,"2022-06-28 11:15:07",國立澎湖科技大學<br/>國立澎湖科技大學,,1,1,70
20228,2084,元太科技工業股份有限公司,生質能,300,2023,2023-11-08,"2023-11-08 06:41:24",中華紙漿股份有限公司<br/>中華紙漿股份有限公司花蓮廠,,1,1,37
20229,2084,元太科技工業股份有限公司,生質能,400,2023,2023-11-08,"2023-11-08 06:41:25",中華紙漿股份有限公司<br/>中華紙漿股份有限公司花蓮廠,,1,1,39
