id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
209,36,遠東新世紀股份有限公司,太陽能,7,2018,2018-12-17,"2018-12-17 17:01:40",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,8
141,36,遠東新世紀股份有限公司,太陽能,6,2018,2018-11-19,"2018-11-19 14:56:00",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,21
104,36,遠東新世紀股份有限公司,太陽能,4,2018,2018-10-15,"2018-10-15 16:41:11",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,30
49,36,遠東新世紀股份有限公司,太陽能,5,2018,2018-09-12,"2018-09-12 10:01:18",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,58
39,36,遠東新世紀股份有限公司,太陽能,4,2018,2018-08-13,"2018-08-13 14:37:50",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,66
29,36,遠東新世紀股份有限公司,太陽能,5,2018,2018-07-17,"2018-07-17 08:48:43",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,77
19,36,遠東新世紀股份有限公司,太陽能,24,2018,2018-07-05,"2018-07-05 16:30:07",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,85
14,36,遠東新世紀股份有限公司,太陽能,34,2017,2018-02-12,"2018-03-09 14:16:31",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,91
587,36,遠東新世紀股份有限公司,太陽能,27,2019,2019-08-30,"2019-08-30 17:55:25",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,41
341,36,遠東新世紀股份有限公司,太陽能,53,2019,2019-04-10,"2019-04-10 09:51:31",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,58
281,36,遠東新世紀股份有限公司,太陽能,11,2018,2019-02-20,"2019-02-20 14:35:00",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,62
1401,65,遠東新世紀股份有限公司,太陽能,150,2020,2020-10-12,"2022-06-28 11:15:14",國立澎湖科技大學<br/>國立澎湖科技大學,,1,1,21
921,36,遠東新世紀股份有限公司,太陽能,53,2019,2020-02-06,"2020-02-06 16:05:28",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,62
861,36,遠東新世紀股份有限公司,太陽能,5,2019,2020-01-10,"2020-01-10 13:12:44",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,66
