id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
1043,92,博仲法律事務所,太陽能,7,2019,2020-03-23,"2020-03-23 18:25:22",交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局南科站,,1,1,52
1042,92,博仲法律事務所,太陽能,24,2019,2020-03-23,"2020-03-23 18:24:12","交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局 基隆站",,1,1,53
1041,92,博仲法律事務所,太陽能,7,2019,2020-03-23,"2020-03-23 18:23:33",交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局北湖站,,1,1,54
982,92,王道商業銀行股份有限公司,太陽能,6,2019,2020-02-27,"2020-02-27 14:38:38","交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局 竹北站",,1,1,58
3801,92,德紐股份有限公司,太陽能,25,2020,2022-06-28,"2022-06-28 10:59:00","交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局 基隆站",,1,1,65
2983,92,精誠資訊股份有限公司,太陽能,27,2021,2022-03-11,"2022-03-11 19:45:09","交通部台灣鐵路管理局<br/>交通部台灣鐵路管理局 基隆站",,1,1,112
