id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
1061,29,永佳環球有限公司,太陽能,25,2019,2020-04-07,"2020-04-07 10:43:21",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,48
2523,29,彰化商業銀行股份有限公司,太陽能,90,2021,2021-11-04,"2021-11-04 18:48:58",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,33
2224,29,博仲法律事務所,太陽能,15,2021,2021-07-08,"2021-07-08 19:11:16",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,58
2223,29,節能屋能源科技股份有限公司,太陽能,2,2021,2021-07-08,"2021-07-08 19:11:04",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,59
2222,29,電轉轉電力股份有限公司,太陽能,3,2021,2021-07-08,"2021-07-08 19:10:56",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,60
1864,29,永佳環球有限公司,太陽能,46,2020,2021-03-05,"2021-03-05 09:36:32",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,83
3561,29,國泰人壽保險股份有限公司,太陽能,10,2021,2022-04-25,"2022-04-25 14:36:11",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,88
2941,29,永佳環球有限公司,太陽能,50,2021,2022-02-22,"2022-02-22 11:40:36",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,120
13741,29,國泰人壽保險股份有限公司,太陽能,139,2022,2023-06-19,"2023-06-19 10:36:21",利佳興業股份有限公司<br/>利佳興業股份有限公司,,1,1,85
