id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
2607,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,72,2021,2021-11-22,"2021-11-22 16:44:11",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,21
2606,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,163,2021,2021-11-22,"2021-11-22 16:44:06",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,22
2605,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,90,2021,2021-11-22,"2021-11-22 16:43:58",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,23
2604,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,36,2020,2021-11-22,"2021-11-22 16:36:23",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,24
2603,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,87,2020,2021-11-22,"2021-11-22 16:36:17",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,25
2602,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,60,2020,2021-11-22,"2021-11-22 16:36:07",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,26
1863,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,74,2020,2021-03-05,"2021-03-05 09:36:23",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,84
1862,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,169,2020,2021-03-05,"2021-03-05 09:36:18",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,85
1861,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,77,2020,2021-03-05,"2021-03-05 09:36:12",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,86
5931,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,185,2022,2022-12-07,"2022-12-07 13:49:45",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,14
5932,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,86,2022,2022-12-07,"2022-12-07 13:53:58",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,15
5927,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,12,2021,2022-12-07,"2022-12-07 13:12:49",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,16
5929,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,15,2021,2022-12-07,"2022-12-07 13:17:19",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,17
5930,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,97,2022,2022-12-07,"2022-12-07 13:21:18",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,18
5928,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,25,2021,2022-12-07,"2022-12-07 13:15:51",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,19
3698,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,75,2021,2022-05-20,"2022-05-20 10:41:41",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,75
3697,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,166,2021,2022-05-20,"2022-05-20 10:41:36",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,76
3696,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,90,2021,2022-05-20,"2022-05-20 10:41:29",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,77
20267,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,100,2023,2023-11-06,"2023-11-06 11:11:14",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,41
20248,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,220,2023,2023-11-03,"2023-11-03 14:20:12",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,42
20247,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,116,2023,2023-11-03,"2023-11-03 14:18:29",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,44
11212,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,9,2023,2023-04-28,"2023-04-28 17:34:10",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,111
11210,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,11,2023,2023-04-28,"2023-04-28 17:31:32",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,112
11208,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,143,2022,2023-04-28,"2023-04-28 17:26:53",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,113
11207,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,65,2022,2023-04-28,"2023-04-28 17:24:15",萬家香醬園股份有限公司<br/>萬家香三期,,1,1,114
11211,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,19,2023,2023-04-28,"2023-04-28 17:33:18",萬家香醬園股份有限公司<br/>萬家香二期,,1,1,115
11209,1481,美商蘋果電子股份有限公司台灣分公司,太陽能,110,2022,2023-04-28,"2023-04-28 17:28:03",萬家香醬園股份有限公司<br/>萬家香一期,,1,1,116
