id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
3231,322,亞福儲能股份有限公司,太陽能,3,2020,2022-03-31,"2022-07-02 06:40:53",高雄市動物保護處<br/>燕巢動物保護關愛園區(開放區),,1,1,92
3229,322,亞福儲能股份有限公司,太陽能,5,2019,2022-03-31,"2022-07-02 06:40:52",高雄市動物保護處<br/>燕巢動物保護關愛園區(開放區),,1,1,94
3224,322,精誠資訊股份有限公司,太陽能,5,2021,2022-03-31,"2022-07-02 06:40:50",高雄市動物保護處<br/>燕巢動物保護關愛園區(開放區),,1,1,99
18407,322,群翌能源股份有限公司,太陽能,7,2023,2023-10-26,"2023-10-26 06:40:52",高雄市動物保護處<br/>燕巢動物保護關愛園區(開放區),,1,1,52
10009,322,宜鼎國際股份有限公司,太陽能,3,2022,2023-04-15,"2023-04-15 06:30:45",高雄市動物保護處<br/>燕巢動物保護關愛園區(開放區),,1,1,123
7127,322,宜鼎國際股份有限公司,太陽能,10,2022,2023-02-15,"2023-02-15 15:10:15",高雄市動物保護處<br/>燕巢動物保護關愛園區(開放區),,1,1,174
