case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
395,5681,2127,太陽能,100,中鼎工程股份有限公司,昱鼎電業股份有限公司<br/>(北捷北投機廠太陽光電發電廠),北捷北投機廠太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2023"" data-case=""395"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",365
412,6106,2127,太陽能,400,台灣康寧顯示玻璃股份有限公司,昱鼎電業股份有限公司<br/>(臺南市新營掩埋場3&4期太陽光電發電廠),臺南市新營掩埋場3&amp;4期太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2023"" data-case=""412"" data-buyer=""6106""><i class=""icon search""></i>詳情</button>",366
413,6106,2127,太陽能,4685,台灣康寧顯示玻璃股份有限公司,昱鼎電業股份有限公司<br/>(臺南市新營掩埋場5期太陽光電發電廠),臺南市新營掩埋場5期太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2023"" data-case=""413"" data-buyer=""6106""><i class=""icon search""></i>詳情</button>",367
545,6106,2127,太陽能,620,台灣康寧顯示玻璃股份有限公司,昱鼎電業股份有限公司<br/>(台北自來水長興淨水廠太陽光電發電廠),台北自來水長興淨水廠太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2023"" data-case=""545"" data-buyer=""6106""><i class=""icon search""></i>詳情</button>",368
412,6106,2127,太陽能,592,台灣康寧顯示玻璃股份有限公司,昱鼎電業股份有限公司<br/>(臺南市新營掩埋場3&4期太陽光電發電廠),臺南市新營掩埋場3&amp;4期太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2024"" data-case=""412"" data-buyer=""6106""><i class=""icon search""></i>詳情</button>",395
413,6106,2127,太陽能,1288,台灣康寧顯示玻璃股份有限公司,昱鼎電業股份有限公司<br/>(臺南市新營掩埋場5期太陽光電發電廠),臺南市新營掩埋場5期太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2024"" data-case=""413"" data-buyer=""6106""><i class=""icon search""></i>詳情</button>",396
545,6106,2127,太陽能,1,台灣康寧顯示玻璃股份有限公司,昱鼎電業股份有限公司<br/>(台北自來水長興淨水廠太陽光電發電廠),台北自來水長興淨水廠太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2024"" data-case=""545"" data-buyer=""6106""><i class=""icon search""></i>詳情</button>",397
