case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
7,75,421,太陽能,5,元太科技工業股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(國源汽車二期),國源汽車二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2020"" data-case=""7"" data-buyer=""75""><i class=""icon search""></i>詳情</button>",5
7,661,421,太陽能,5,大江生醫股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(國源汽車二期),國源汽車二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2020"" data-case=""7"" data-buyer=""661""><i class=""icon search""></i>詳情</button>",6
8,75,421,太陽能,2,元太科技工業股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(台南一期),台南一期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2020"" data-case=""8"" data-buyer=""75""><i class=""icon search""></i>詳情</button>",7
9,661,421,太陽能,2,大江生醫股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(台南二期),台南二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2020"" data-case=""9"" data-buyer=""661""><i class=""icon search""></i>詳情</button>",8
7,75,421,太陽能,5,元太科技工業股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(國源汽車二期),國源汽車二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2021"" data-case=""7"" data-buyer=""75""><i class=""icon search""></i>詳情</button>",24
7,661,421,太陽能,6,大江生醫股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(國源汽車二期),國源汽車二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2021"" data-case=""7"" data-buyer=""661""><i class=""icon search""></i>詳情</button>",25
8,75,421,太陽能,10,元太科技工業股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(台南一期),台南一期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2021"" data-case=""8"" data-buyer=""75""><i class=""icon search""></i>詳情</button>",26
9,661,421,太陽能,10,大江生醫股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(台南二期),台南二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2021"" data-case=""9"" data-buyer=""661""><i class=""icon search""></i>詳情</button>",27
7,75,421,太陽能,17,元太科技工業股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(國源汽車二期),國源汽車二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2022"" data-case=""7"" data-buyer=""75""><i class=""icon search""></i>詳情</button>",109
7,2641,421,太陽能,12,台灣萊雅股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(國源汽車二期),國源汽車二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2022"" data-case=""7"" data-buyer=""2641""><i class=""icon search""></i>詳情</button>",110
8,75,421,太陽能,10,元太科技工業股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(台南一期),台南一期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2022"" data-case=""8"" data-buyer=""75""><i class=""icon search""></i>詳情</button>",111
9,661,421,太陽能,9,大江生醫股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(台南二期),台南二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2022"" data-case=""9"" data-buyer=""661""><i class=""icon search""></i>詳情</button>",112
