case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
347,2341,5483,太陽能,5306,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第一期太陽光電發電廠),映暉能源第一期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2023"" data-case=""347"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",346
348,2341,5483,太陽能,3369,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第2-1期、第2-2期太陽光電發電廠),映暉能源第2-1期、第2-2期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2023"" data-case=""348"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",347
349,2341,5483,太陽能,1895,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第3-1期太陽光電發電廠),映暉能源第3-1期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2023"" data-case=""349"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",348
350,2341,5483,太陽能,1858,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第6-1期太陽光電發電廠),映暉能源第6-1期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2023"" data-case=""350"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",349
351,2341,5483,太陽能,1501,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第7-1期太陽光電發電廠),映暉能源第7-1期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2023"" data-case=""351"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",350
347,2341,5483,太陽能,1248,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第一期太陽光電發電廠),映暉能源第一期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2024"" data-case=""347"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",376
348,2341,5483,太陽能,810,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第2-1期、第2-2期太陽光電發電廠),映暉能源第2-1期、第2-2期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2024"" data-case=""348"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",377
349,2341,5483,太陽能,458,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第3-1期太陽光電發電廠),映暉能源第3-1期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2024"" data-case=""349"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",378
350,2341,5483,太陽能,436,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第6-1期太陽光電發電廠),映暉能源第6-1期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2024"" data-case=""350"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",379
351,2341,5483,太陽能,345,南亞科技股份有限公司,映暉能源有限公司<br/>(映暉能源第7-1期太陽光電發電廠),映暉能源第7-1期太陽光電發電廠,映暉能源有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5483"" data-year=""2024"" data-case=""351"" data-buyer=""2341""><i class=""icon search""></i>詳情</button>",380
