case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
285,361,421,太陽能,64,王道商業銀行股份有限公司,瓦特先生股份有限公司<br/>得禾一能源股份有限公司(一德金屬TW190995),一德金屬TW190995,得禾一能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2023"" data-case=""285"" data-buyer=""361""><i class=""icon search""></i>詳情</button>",433
276,361,2542,太陽能,494,王道商業銀行股份有限公司,陽光伏特家電力股份有限公司<br/>奇美綠能股份有限公司(奇美綠能園區二期),奇美綠能園區二期,奇美綠能股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2542"" data-year=""2023"" data-case=""276"" data-buyer=""361""><i class=""icon search""></i>詳情</button>",508
285,361,421,太陽能,25,王道商業銀行股份有限公司,瓦特先生股份有限公司<br/>得禾一能源股份有限公司(一德金屬TW190995),一德金屬TW190995,得禾一能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""285"" data-buyer=""361""><i class=""icon search""></i>詳情</button>",455
276,361,2542,太陽能,272,王道商業銀行股份有限公司,陽光伏特家電力股份有限公司<br/>奇美綠能股份有限公司(奇美綠能園區二期),奇美綠能園區二期,奇美綠能股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2542"" data-year=""2024"" data-case=""276"" data-buyer=""361""><i class=""icon search""></i>詳情</button>",552
