case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
269,4446,2082,水力能,1031,華美光學科技股份有限公司,台汽電綠能股份有限公司<br/>嘉南實業股份有限公司(烏山頭水力發電廠),烏山頭水力發電廠,嘉南實業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2022"" data-case=""269"" data-buyer=""4446""><i class=""icon search""></i>詳情</button>",30
270,4446,2542,太陽能,1316,華美光學科技股份有限公司,陽光伏特家電力股份有限公司<br/>奇美綠能股份有限公司(奇美綠能園區一期),奇美綠能園區一期,奇美綠能股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2542"" data-year=""2022"" data-case=""270"" data-buyer=""4446""><i class=""icon search""></i>詳情</button>",137
269,4446,2082,水力能,416,華美光學科技股份有限公司,台汽電綠能股份有限公司<br/>嘉南實業股份有限公司(烏山頭水力發電廠),烏山頭水力發電廠,嘉南實業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2023"" data-case=""269"" data-buyer=""4446""><i class=""icon search""></i>詳情</button>",116
270,4446,2542,太陽能,3270,華美光學科技股份有限公司,陽光伏特家電力股份有限公司<br/>奇美綠能股份有限公司(奇美綠能園區一期),奇美綠能園區一期,奇美綠能股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2542"" data-year=""2023"" data-case=""270"" data-buyer=""4446""><i class=""icon search""></i>詳情</button>",497
269,4446,2082,水力能,271,華美光學科技股份有限公司,台汽電綠能股份有限公司<br/>嘉南實業股份有限公司(烏山頭水力發電廠),烏山頭水力發電廠,嘉南實業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2024"" data-case=""269"" data-buyer=""4446""><i class=""icon search""></i>詳情</button>",123
270,4446,2542,太陽能,24,華美光學科技股份有限公司,陽光伏特家電力股份有限公司<br/>奇美綠能股份有限公司(奇美綠能園區一期),奇美綠能園區一期,奇美綠能股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2542"" data-year=""2024"" data-case=""270"" data-buyer=""4446""><i class=""icon search""></i>詳情</button>",544
