case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
159,1461,2082,太陽能,4496,台灣固網股份有限公司,台汽電綠能股份有限公司<br/>鑫光電能有限公司(鑫光電能有限公司),鑫光電能有限公司,鑫光電能有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2021"" data-case=""159"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",5
172,1461,2363,太陽能,462,台灣固網股份有限公司,泓德能源科技股份有限公司<br/>(星星電力-YL南波萬),星星電力-YL南波萬,泓德能源科技股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2363"" data-year=""2021"" data-case=""172"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",22
159,1461,2082,太陽能,4300,台灣固網股份有限公司,台汽電綠能股份有限公司<br/>鑫光電能有限公司(鑫光電能有限公司),鑫光電能有限公司,鑫光電能有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2022"" data-case=""159"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",24
214,1461,2082,風力能,5133,台灣固網股份有限公司,台汽電綠能股份有限公司<br/>星寶電力股份有限公司(星寶風力發電廠),星寶風力發電廠,星寶電力股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2022"" data-case=""214"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",27
183,1461,1881,風力能,942,台灣固網股份有限公司,富威電力股份有限公司<br/>彰苑風力發電股份有限公司(彰苑風力發電廠),彰苑風力發電廠,彰苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2022"" data-case=""183"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",62
184,1461,1881,風力能,916,台灣固網股份有限公司,富威電力股份有限公司<br/>北苑風力發電股份有限公司(北苑風力發電廠),北苑風力發電廠,北苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2022"" data-case=""184"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",81
172,1461,2363,太陽能,1470,台灣固網股份有限公司,泓德能源科技股份有限公司<br/>(星星電力-YL南波萬),星星電力-YL南波萬,泓德能源科技股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2363"" data-year=""2022"" data-case=""172"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",100
159,1461,2082,太陽能,4396,台灣固網股份有限公司,台汽電綠能股份有限公司<br/>鑫光電能有限公司(鑫光電能有限公司),鑫光電能有限公司,鑫光電能有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2023"" data-case=""159"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",108
214,1461,2082,風力能,6690,台灣固網股份有限公司,台汽電綠能股份有限公司<br/>星寶電力股份有限公司(星寶風力發電廠),星寶風力發電廠,星寶電力股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2023"" data-case=""214"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",112
183,1461,1881,風力能,1506,台灣固網股份有限公司,富威電力股份有限公司<br/>彰苑風力發電股份有限公司(彰苑風力發電廠),彰苑風力發電廠,彰苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2023"" data-case=""183"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",257
184,1461,1881,風力能,1692,台灣固網股份有限公司,富威電力股份有限公司<br/>北苑風力發電股份有限公司(北苑風力發電廠),北苑風力發電廠,北苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2023"" data-case=""184"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",280
402,1461,4181,太陽能,4211,台灣固網股份有限公司,星星電力股份有限公司<br/>茂泓能源股份有限公司(臺南市北門區第一期太陽光電發電系統工程),臺南市北門區第一期太陽光電發電系統工程,茂泓能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4181"" data-year=""2023"" data-case=""402"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",334
414,1461,4181,太陽能,303,台灣固網股份有限公司,星星電力股份有限公司<br/>台康日能科技股份有限公司(台康萬興四放滯洪池),台康萬興四放滯洪池,台康日能科技股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4181"" data-year=""2023"" data-case=""414"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",343
172,1461,2363,太陽能,1484,台灣固網股份有限公司,泓德能源科技股份有限公司<br/>(星星電力-YL南波萬),星星電力-YL南波萬,泓德能源科技股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2363"" data-year=""2023"" data-case=""172"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",374
159,1461,2082,太陽能,893,台灣固網股份有限公司,台汽電綠能股份有限公司<br/>鑫光電能有限公司(鑫光電能有限公司),鑫光電能有限公司,鑫光電能有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2024"" data-case=""159"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",116
214,1461,2082,風力能,2382,台灣固網股份有限公司,台汽電綠能股份有限公司<br/>星寶電力股份有限公司(星寶風力發電廠),星寶風力發電廠,星寶電力股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2082"" data-year=""2024"" data-case=""214"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",120
183,1461,1881,風力能,452,台灣固網股份有限公司,富威電力股份有限公司<br/>彰苑風力發電股份有限公司(彰苑風力發電廠),彰苑風力發電廠,彰苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2024"" data-case=""183"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",273
184,1461,1881,風力能,396,台灣固網股份有限公司,富威電力股份有限公司<br/>北苑風力發電股份有限公司(北苑風力發電廠),北苑風力發電廠,北苑風力發電股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""1881"" data-year=""2024"" data-case=""184"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",289
402,1461,4181,太陽能,844,台灣固網股份有限公司,星星電力股份有限公司<br/>茂泓能源股份有限公司(臺南市北門區第一期太陽光電發電系統工程),臺南市北門區第一期太陽光電發電系統工程,茂泓能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4181"" data-year=""2024"" data-case=""402"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",365
414,1461,4181,太陽能,367,台灣固網股份有限公司,星星電力股份有限公司<br/>台康日能科技股份有限公司(台康萬興四放滯洪池),台康萬興四放滯洪池,台康日能科技股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""4181"" data-year=""2024"" data-case=""414"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",373
172,1461,2363,太陽能,312,台灣固網股份有限公司,泓德能源科技股份有限公司<br/>(星星電力-YL南波萬),星星電力-YL南波萬,泓德能源科技股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2363"" data-year=""2024"" data-case=""172"" data-buyer=""1461""><i class=""icon search""></i>詳情</button>",407
