case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
395,5681,2127,太陽能,100,中鼎工程股份有限公司,昱鼎電業股份有限公司<br/>(北捷北投機廠太陽光電發電廠),北捷北投機廠太陽光電發電廠,昱鼎電業股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""2127"" data-year=""2023"" data-case=""395"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",365
199,5681,3302,太陽能,25,中鼎工程股份有限公司,昱鼎能源科技開發股份有限公司<br/>臺南市/臺南市政府環境保護局(台南市菁寮掩埋場太陽光電發電廠),台南市菁寮掩埋場太陽光電發電廠,臺南市/臺南市政府環境保護局,2,轉供,"<button class=""ui mini green button detail"" data-seller=""3302"" data-year=""2024"" data-case=""199"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",381
539,5681,3302,太陽能,1,中鼎工程股份有限公司,昱鼎能源科技開發股份有限公司<br/>(台中港公共倉儲太陽光電發電廠),台中港公共倉儲太陽光電發電廠,昱鼎能源科技開發股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""3302"" data-year=""2024"" data-case=""539"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",383
540,5681,3302,太陽能,236,中鼎工程股份有限公司,昱鼎能源科技開發股份有限公司<br/>(台中港旅客服務中心停車場太陽光電發電廠),台中港旅客服務中心停車場太陽光電發電廠,昱鼎能源科技開發股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""3302"" data-year=""2024"" data-case=""540"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",384
586,5681,3302,太陽能,43,中鼎工程股份有限公司,昱鼎能源科技開發股份有限公司<br/>(高雄港二櫃63倉太陽光電發電廠),高雄港二櫃63倉太陽光電發電廠,昱鼎能源科技開發股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""3302"" data-year=""2024"" data-case=""586"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",387
587,5681,3302,太陽能,47,中鼎工程股份有限公司,昱鼎能源科技開發股份有限公司<br/>(高雄港二櫃66倉太陽光電發電廠),高雄港二櫃66倉太陽光電發電廠,昱鼎能源科技開發股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""3302"" data-year=""2024"" data-case=""587"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",388
588,5681,3302,太陽能,1,中鼎工程股份有限公司,昱鼎能源科技開發股份有限公司<br/>(高雄港三櫃68、69倉太陽光電發電廠),高雄港三櫃68、69倉太陽光電發電廠,昱鼎能源科技開發股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""3302"" data-year=""2024"" data-case=""588"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",389
612,5681,3302,太陽能,198,中鼎工程股份有限公司,昱鼎能源科技開發股份有限公司<br/>(嘉義布袋港(第三停車場)太陽光電發電廠),嘉義布袋港(第三停車場)太陽光電發電廠,昱鼎能源科技開發股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""3302"" data-year=""2024"" data-case=""612"" data-buyer=""5681""><i class=""icon search""></i>詳情</button>",390
